Zip code,avg completion time,std dev of completion time,# of completed requests,# of unfulfilled requests
60804,2,N/A,1,0
60656,1.5726495726495726,2.189778201542934,234,10
60610,1.488817891373802,11.236959524395425,1252,21
60661,1.383638928067701,14.816659686097394,709,13
60611,1.0164075993091537,1.498108359410908,1158,20
60065,1,N/A,1,0
60623,0.9966757328498036,2.973400959861008,9927,219
60649,0.9846153846153847,1.042780398528812,195,5
60615,0.94,2.1707388197135487,300,7
60642,0.9266151685393258,4.61437646585944,2848,62
60652,0.8999274836838289,0.985449288155975,1379,55
60616,0.8743151788591685,4.272208742962047,3103,73
60602,0.8617021276595744,1.2248994191822016,282,4
60629,0.8498713956951401,1.5848809847945782,7387,155
60604,0.8378378378378378,1.6332183246502974,148,3
60619,0.8378378378378378,1.754622192388171,296,8
60605,0.8286074354127284,1.7406535173203082,1587,23
60630,0.827268741779921,1.5587815591792864,2281,26
60632,0.8231014097316962,2.154442136946069,19791,493
60637,0.8227513227513228,0.9595593852689172,378,3
60638,0.8153333333333334,1.3410557442658282,1500,18
60608,0.7605409268319498,2.3524391827848565,18191,458
60654,0.7528935185185185,1.1135543109693942,1728,18
60644,0.7337278106508875,1.086253719513929,507,8
60606,0.7304609218436874,1.3121200268537034,998,21
60603,0.7217391304347827,0.9761149807616739,230,2
60618,0.716835089228123,2.5615079068948976,18604,400
60607,0.7097625329815304,4.870629145827539,2274,36
60624,0.6977186311787072,1.2245018889478876,1052,13
60651,0.6651962946625496,1.1337874392846505,2267,31
60609,0.6564362601192065,1.1075266935473664,11241,259
60647,0.6472138752701777,2.5597371100999946,18969,343
60612,0.6452758055707264,1.1968516095645394,3662,59
60641,0.6429410777236865,3.114545256457116,5957,109
60634,0.639308060360692,1.9345439251953203,2717,64
60657,0.6374576908612261,1.1186031372849514,5318,89
60646,0.6366612111292962,1.0919517710411217,611,11
60633,0.6215139442231076,0.9144262128814883,251,10
60659,0.6008793356130924,1.3325239021321962,2047,18
60617,0.5952788231269244,0.9334851582339724,2923,41
60614,0.5944150943396227,1.1526849405782547,6625,101
60628,0.5899814471243042,0.9270670662794889,539,9
60625,0.5760284408329102,1.7780189403658018,9845,231
60613,0.5634920634920635,1.0476429003733811,5922,142
60643,0.5335120643431636,0.8750285697266869,373,5
60645,0.5253456221198156,0.8338825937882027,1302,22
60640,0.5217577706323687,1.0399442509509527,4665,49
60621,0.5143824027072758,1.207060970176614,591,7
60660,0.513601299228583,1.1208993061190198,2463,21
60601,0.5092097445038621,1.093872037244101,1683,23
60636,0.5081332300542215,0.9337199923405614,1291,15
60639,0.5055187637969095,1.2014622617936401,6342,87
60827,0.5,0.5773502691896257,4,0
60666,0.5,0.7071067811865476,2,0
60622,0.49406175771971494,1.3638930554117263,10104,151
60631,0.4711864406779661,0.852178250863099,295,5
60707,0.4664310954063604,0.8853399835058825,566,4
60653,0.4207920792079208,0.9110097832339802,404,3
60626,0.40356394129979034,0.9505206814245067,2862,36
60620,0.26795895096921324,0.6706754301147678,877,3
60655,0.26037735849056604,0.7204637665277551,265,3
60635,0,N/A,0,0
60627,0,N/A,0,0
